Time (s), Number of Contacts
0, 3649
0.300048, 9858
0.600029, 9752
0.90001, 8733
1.20006, 5431
1.50004, 5490
1.80002, 7830
2.1, 7068
2.40005, 5491
2.75003, 6451
3.05001, 6932
3.35005, 6002
3.65004, 5886
3.95002, 6772
4.25006, 6513
4.55004, 5991
4.85003, 6268
5.15001, 6673
5.45005, 6105
5.75004, 5977
6.05002, 6290
6.35006, 6495
6.65004, 6270
6.95003, 6141
7.25001, 6376
7.60005, 6078
7.90003, 6161
8.20001, 6402
8.50006, 6188
8.80004, 6055
9.10002, 6306
9.4, 6359
9.70005, 6417
10, 6184
10.3, 6126
10.6001, 6327
10.9, 6220
11.2, 6328
11.5, 6181
11.8001, 6374
12.1, 6183
12.4, 6139
12.7501, 6320
13.05, 6216
13.35, 6572
13.65, 6302
13.95, 6218
14.25, 6255
14.55, 6371
14.8501, 6038
15.15, 6216
15.45, 6359
15.75, 6157
16.05, 6344
16.35, 6296
16.65, 6289
16.9501, 6111
17.25, 6393
17.6, 6143
17.9001, 6196
18.2, 6293
18.5, 6299
18.8, 6293
19.1001, 6302
19.4, 6484
19.7, 6251
20.0001, 6146
20.3, 6250
20.6, 6385
20.9, 6160
21.2001, 6176
21.5, 6240
21.8, 6131
22.1001, 6340
22.4, 6306
22.75, 6420
23.05, 6307
23.3501, 6346
23.65, 6096
23.95, 6386
24.2501, 6114
24.55, 6352
24.85, 6272
25.15, 6193
25.4501, 6300
25.75, 6104
26.05, 6246
26.3501, 6370
26.65, 6303
26.95, 6274
27.25, 6358
27.6, 6256
27.9, 6237
28.2, 6091
28.5001, 6249
28.8, 6238
29.1, 6272
29.4, 6404
29.7, 6301
30, 6243
