Time (s), Number of Contacts
0, 3649
0.300048, 10193
0.600029, 10088
0.90001, 9108
1.20006, 5122
1.50004, 4812
1.80002, 8622
2.1, 7479
2.40005, 4962
2.75003, 6732
3.05001, 7826
3.35005, 5192
3.65004, 5493
3.95002, 7686
4.25006, 6461
4.55004, 4822
4.85003, 6787
5.15001, 7074
5.45005, 4981
5.75004, 5426
6.05002, 7030
6.35006, 5897
6.65004, 5181
6.95003, 5893
7.25001, 6396
7.60005, 5227
7.90003, 5514
8.20001, 6226
8.50006, 5951
8.80004, 5386
9.10002, 5571
9.4, 5968
9.70005, 5652
10, 5658
10.3, 5734
10.6001, 5930
10.9, 5549
11.2, 5925
11.5, 5868
11.8001, 5724
12.1, 5814
12.4, 5513
12.7501, 5672
13.05, 6063
13.35, 5990
13.65, 5257
13.95, 5522
14.25, 6173
14.55, 5903
14.8501, 5484
15.15, 5614
15.45, 6012
15.75, 5654
16.05, 5658
16.35, 5607
16.65, 5801
16.9501, 5910
17.25, 5710
17.6, 5616
17.9001, 6125
18.2, 5851
18.5, 5359
18.8, 5803
19.1001, 5906
19.4, 5547
19.7, 5377
20.0001, 5701
20.3, 5925
20.6, 5670
20.9, 5646
21.2001, 5819
21.5, 5765
21.8, 5780
22.1001, 5899
22.4, 5973
22.75, 5555
23.05, 5585
23.3501, 5874
23.65, 5686
23.95, 5588
24.2501, 5635
24.55, 5621
24.85, 5772
25.15, 5771
25.4501, 5807
25.75, 5912
26.05, 5916
26.3501, 5910
26.65, 5911
26.95, 5853
27.25, 5719
27.6, 5675
27.9, 5634
28.2, 5948
28.5001, 5920
28.8, 5633
29.1, 5725
29.4, 5763
29.7, 5785
30, 5789
