Time (s), Number of Contacts
0, 432
0.300048, 1033
0.600029, 1010
0.90001, 902
1.20006, 738
1.50004, 849
1.80002, 946
2.1, 830
2.40005, 850
2.75003, 923
3.05001, 860
3.35005, 866
3.65004, 900
3.95002, 889
4.25006, 849
4.55004, 890
4.85003, 933
5.15001, 892
5.45005, 854
5.75004, 924
6.05002, 893
6.35006, 898
6.65004, 903
6.95003, 892
7.25001, 912
7.60005, 887
7.90003, 862
8.20001, 900
8.50006, 879
8.80004, 876
9.10002, 864
9.4, 909
9.70005, 872
10, 876
10.3, 897
10.6001, 912
10.9, 879
11.2, 897
11.5, 897
11.8001, 855
12.1, 898
12.4, 915
12.7501, 878
13.05, 900
13.35, 893
13.65, 865
13.95, 920
14.25, 890
14.55, 867
14.8501, 904
15.15, 902
15.45, 878
15.75, 878
16.05, 870
16.35, 883
16.65, 894
16.9501, 887
17.25, 897
17.6, 891
17.9001, 879
18.2, 902
18.5, 904
18.8, 855
19.1001, 867
19.4, 917
19.7, 894
20.0001, 926
20.3, 897
20.6, 907
20.9, 890
21.2001, 938
21.5, 900
21.8, 867
22.1001, 898
22.4, 890
22.75, 893
23.05, 896
23.3501, 913
23.65, 875
23.95, 918
24.2501, 930
24.55, 889
24.85, 882
25.15, 903
25.4501, 871
25.75, 892
26.05, 902
26.3501, 902
26.65, 878
26.95, 873
27.25, 914
27.6, 881
27.9, 867
28.2, 866
28.5001, 883
28.8, 869
29.1, 892
29.4, 887
29.7, 887
30, 917
