Time (s), Number of Contacts
0, 432
0.300048, 1044
0.600029, 1043
0.90001, 922
1.20006, 964
1.50004, 988
1.80002, 945
2.1, 970
2.40005, 994
2.75003, 979
3.05001, 971
3.35005, 991
3.65004, 999
3.95002, 994
4.25006, 1007
4.55004, 1031
4.85003, 1013
5.15001, 1030
5.45005, 1019
5.75004, 1022
6.05002, 1029
6.35006, 1038
6.65004, 1054
6.95003, 1055
7.25001, 1054
7.60005, 1043
7.90003, 1069
8.20001, 1046
8.50006, 1066
8.80004, 1075
9.10002, 1066
9.4, 1071
9.70005, 1083
10, 1091
10.3, 1089
10.6001, 1093
10.9, 1072
11.2, 1098
11.5, 1099
11.8001, 1117
12.1, 1084
12.4, 1089
12.7501, 1121
13.05, 1097
13.35, 1116
13.65, 1121
13.95, 1101
14.25, 1110
14.55, 1095
14.8501, 1094
15.15, 1123
15.45, 1107
15.75, 1109
16.05, 1111
16.35, 1098
16.65, 1139
16.9501, 1127
17.25, 1122
17.6, 1143
17.9001, 1136
18.2, 1139
18.5, 1147
18.8, 1148
19.1001, 1149
19.4, 1146
19.7, 1160
20.0001, 1154
20.3, 1147
20.6, 1155
20.9, 1145
21.2001, 1160
21.5, 1154
21.8, 1169
22.1001, 1177
22.4, 1166
22.75, 1179
23.05, 1173
23.3501, 1189
23.65, 1171
23.95, 1222
24.2501, 1167
24.55, 1186
24.85, 1205
25.15, 1205
25.4501, 1182
25.75, 1182
26.05, 1208
26.3501, 1190
26.65, 1210
26.95, 1204
27.25, 1186
27.6, 1189
27.9, 1175
28.2, 1210
28.5001, 1207
28.8, 1180
29.1, 1164
29.4, 1184
29.7, 1180
30, 1173
