Time (s), Number of Contacts
0, 432
0.300048, 1051
0.600029, 1053
0.90001, 987
1.20006, 824
1.50004, 1041
1.80002, 1174
2.1, 1013
2.40005, 994
2.75003, 1211
3.05001, 1066
3.35005, 1045
3.65004, 1181
3.95002, 1103
4.25006, 1001
4.55004, 1136
4.85003, 1164
5.15001, 1004
5.45005, 1085
5.75004, 1166
6.05002, 1127
6.35006, 1056
6.65004, 1112
6.95003, 1147
7.25001, 1078
7.60005, 1146
7.90003, 1103
8.20001, 1061
8.50006, 1154
8.80004, 1085
9.10002, 1108
9.4, 1149
9.70005, 1122
10, 1070
10.3, 1122
10.6001, 1117
10.9, 1093
11.2, 1109
11.5, 1093
11.8001, 1089
12.1, 1114
12.4, 1142
12.7501, 1125
13.05, 1130
13.35, 1149
13.65, 1097
13.95, 1181
14.25, 1124
14.55, 1054
14.8501, 1145
15.15, 1092
15.45, 1092
15.75, 1102
16.05, 1126
16.35, 1166
16.65, 1164
16.9501, 1068
17.25, 1093
17.6, 1139
17.9001, 1118
18.2, 1057
18.5, 1155
18.8, 1135
19.1001, 1013
19.4, 1135
19.7, 1115
20.0001, 1100
20.3, 1079
20.6, 1139
20.9, 1164
21.2001, 1091
21.5, 1101
21.8, 1126
22.1001, 1150
22.4, 1113
22.75, 1159
23.05, 1128
23.3501, 1093
23.65, 1130
23.95, 1151
24.2501, 1085
24.55, 1106
24.85, 1198
25.15, 1084
25.4501, 1090
25.75, 1170
26.05, 1075
26.3501, 1122
26.65, 1103
26.95, 1107
27.25, 1076
27.6, 1096
27.9, 1086
28.2, 1084
28.5001, 1077
28.8, 1142
29.1, 1059
29.4, 1143
29.7, 1188
30, 1038
