Time (s), Number of Contacts
0, 3649
0.300048, 10958
0.600029, 10725
0.90001, 9693
1.20006, 8520
1.50004, 9486
1.80002, 9053
2.1, 8066
2.40005, 8940
2.75003, 8884
3.05001, 8289
3.35005, 8770
3.65004, 8566
3.95002, 8447
4.25006, 9089
4.55004, 8640
4.85003, 8164
5.15001, 9078
5.45005, 8935
5.75004, 8342
6.05002, 8939
6.35006, 8765
6.65004, 8569
6.95003, 9325
7.25001, 8992
7.60005, 8443
7.90003, 9089
8.20001, 8715
8.50006, 8372
8.80004, 8624
9.10002, 8928
9.4, 8408
9.70005, 8777
10, 8673
10.3, 8432
10.6001, 8586
10.9, 8884
11.2, 8424
11.5, 8577
11.8001, 8803
12.1, 8485
12.4, 8643
12.7501, 8845
13.05, 8648
13.35, 8954
13.65, 8974
13.95, 8350
14.25, 8774
14.55, 8864
14.8501, 8227
15.15, 8777
15.45, 8841
15.75, 8767
16.05, 8818
16.35, 8832
16.65, 8739
16.9501, 8607
17.25, 8501
17.6, 8692
17.9001, 8534
18.2, 8881
18.5, 8543
18.8, 8731
19.1001, 8897
19.4, 8599
19.7, 8274
20.0001, 8390
20.3, 8578
20.6, 8534
20.9, 8768
21.2001, 8650
21.5, 8674
21.8, 8712
22.1001, 8553
22.4, 8446
22.75, 8841
23.05, 8621
23.3501, 8749
23.65, 8969
23.95, 8942
24.2501, 8516
24.55, 8616
24.85, 8714
25.15, 8916
25.4501, 8675
25.75, 8374
26.05, 8410
26.3501, 8446
26.65, 8471
26.95, 8854
27.25, 8939
27.6, 8874
27.9, 8833
28.2, 8512
28.5001, 8853
28.8, 8944
29.1, 8495
29.4, 8562
29.7, 8589
30, 8653
