Time (s), Number of Contacts
0, 3649
0.300048, 10026
0.600029, 9958
0.90001, 9122
1.20006, 6011
1.50004, 5765
1.80002, 8715
2.1, 7297
2.40005, 5627
2.75003, 7782
3.05001, 7646
3.35005, 6023
3.65004, 6805
3.95002, 7399
4.25006, 6126
4.55004, 6340
4.85003, 7473
5.15001, 6406
5.45005, 6002
5.75004, 6951
6.05002, 6869
6.35006, 6108
6.65004, 6512
6.95003, 6931
7.25001, 6300
7.60005, 6245
7.90003, 6651
8.20001, 6606
8.50006, 6344
8.80004, 6904
9.10002, 6756
9.4, 5908
9.70005, 6574
10, 7274
10.3, 6176
10.6001, 6355
10.9, 7264
11.2, 6468
11.5, 6381
11.8001, 7231
12.1, 6731
12.4, 5949
12.7501, 6988
13.05, 7112
13.35, 6215
13.65, 6795
13.95, 7119
14.25, 6003
14.55, 6234
14.8501, 7377
15.15, 6513
15.45, 5797
15.75, 7142
16.05, 7205
16.35, 5713
16.65, 6416
16.9501, 7262
17.25, 6465
17.6, 6433
17.9001, 6922
18.2, 6384
18.5, 6335
18.8, 6424
19.1001, 6807
19.4, 6654
19.7, 6396
20.0001, 6618
20.3, 6830
20.6, 6423
20.9, 6394
21.2001, 6600
21.5, 6397
21.8, 6210
22.1001, 6674
22.4, 6570
22.75, 6125
23.05, 6747
23.3501, 6447
23.65, 6112
23.95, 6788
24.2501, 6670
24.55, 6101
24.85, 6485
25.15, 6535
25.4501, 6463
25.75, 6470
26.05, 6605
26.3501, 6420
26.65, 6557
26.95, 6403
27.25, 6505
27.6, 6574
27.9, 6408
28.2, 6287
28.5001, 6551
28.8, 6613
29.1, 6656
29.4, 6625
29.7, 6300
30, 6528
