Time (s), Number of Contacts
0, 3649
0.300048, 9944
0.600029, 9987
0.90001, 9384
1.20006, 6980
1.50004, 5409
1.80002, 7998
2.1, 7876
2.40005, 6017
2.75003, 6545
3.05001, 7530
3.35005, 6454
3.65004, 5744
3.95002, 7400
4.25006, 7081
4.55004, 5947
4.85003, 6607
5.15001, 7284
5.45005, 5987
5.75004, 6049
6.05002, 7647
6.35006, 6848
6.65004, 5683
6.95003, 7116
7.25001, 7533
7.60005, 5603
7.90003, 6845
8.20001, 7707
8.50006, 6114
8.80004, 6402
9.10002, 7501
9.4, 6314
9.70005, 5828
10, 6668
10.3, 6572
10.6001, 5953
10.9, 6464
11.2, 6738
11.5, 6297
11.8001, 5909
12.1, 6615
12.4, 6761
12.7501, 6044
13.05, 6439
13.35, 7197
13.65, 6582
13.95, 6037
14.25, 7146
14.55, 6722
14.8501, 5861
15.15, 6602
15.45, 6931
15.75, 5960
16.05, 6306
16.35, 6947
16.65, 6295
16.9501, 6050
17.25, 6745
17.6, 6290
17.9001, 5841
18.2, 6846
18.5, 6726
18.8, 5853
19.1001, 6643
19.4, 6876
19.7, 5909
20.0001, 6062
20.3, 6862
20.6, 6278
20.9, 5839
21.2001, 6773
21.5, 6896
21.8, 5903
22.1001, 6346
22.4, 6886
22.75, 6370
23.05, 6011
23.3501, 6941
23.65, 6511
23.95, 5848
24.2501, 6474
24.55, 6866
24.85, 6182
25.15, 6052
25.4501, 7071
25.75, 6811
26.05, 5703
26.3501, 6591
26.65, 7368
26.95, 6038
27.25, 5941
27.6, 7452
27.9, 6306
28.2, 5967
28.5001, 7214
28.8, 7099
29.1, 6027
29.4, 6981
29.7, 6934
30, 5792
