Time (s), Number of Contacts
0, 3649
0.300048, 9937
0.600029, 9917
0.90001, 9139
1.20006, 5708
1.50004, 4987
1.80002, 8478
2.1, 8075
2.40005, 5121
2.75003, 6665
3.05001, 7988
3.35005, 5748
3.65004, 5202
3.95002, 7406
4.25006, 7235
4.55004, 5431
4.85003, 5928
5.15001, 7161
5.45005, 6098
5.75004, 5562
6.05002, 6498
6.35006, 6765
6.65004, 5867
6.95003, 5895
7.25001, 6155
7.60005, 6166
7.90003, 5868
8.20001, 6119
8.50006, 6309
8.80004, 5862
9.10002, 6158
9.4, 6144
9.70005, 6071
10, 6195
10.3, 5925
10.6001, 5858
10.9, 6436
11.2, 6328
11.5, 5764
11.8001, 6000
12.1, 6387
12.4, 6364
12.7501, 5824
13.05, 6127
13.35, 6293
13.65, 6119
13.95, 5689
14.25, 6331
14.55, 6240
14.8501, 5880
15.15, 6072
15.45, 6377
15.75, 6060
16.05, 5830
16.35, 6123
16.65, 6429
16.9501, 6000
17.25, 5694
17.6, 6456
17.9001, 6129
18.2, 6242
18.5, 6588
18.8, 6297
19.1001, 5863
19.4, 6020
19.7, 6382
20.0001, 6105
20.3, 6047
20.6, 6097
20.9, 5967
21.2001, 6040
21.5, 6024
21.8, 6122
22.1001, 6154
22.4, 5991
22.75, 6151
23.05, 6271
23.3501, 5956
23.65, 6051
23.95, 6143
24.2501, 6251
24.55, 6148
24.85, 6118
25.15, 6124
25.4501, 6255
25.75, 6165
26.05, 6357
26.3501, 6063
26.65, 6093
26.95, 6038
27.25, 6112
27.6, 6018
27.9, 6027
28.2, 6212
28.5001, 6079
28.8, 6056
29.1, 6216
29.4, 6195
29.7, 6046
30, 6078
