Time (s), Number of Contacts
0, 432
0.300048, 953
0.600029, 960
0.90001, 909
1.20006, 703
1.50004, 481
1.80002, 761
2.1, 870
2.40005, 680
2.75003, 605
3.05001, 851
3.35005, 769
3.65004, 632
3.95002, 711
4.25006, 808
4.55004, 738
4.85003, 637
5.15001, 737
5.45005, 786
5.75004, 726
6.05002, 682
6.35006, 742
6.65004, 751
6.95003, 726
7.25001, 736
7.60005, 752
7.90003, 746
8.20001, 706
8.50006, 752
8.80004, 778
9.10002, 721
9.4, 714
9.70005, 763
10, 739
10.3, 725
10.6001, 741
10.9, 764
11.2, 748
11.5, 728
11.8001, 730
12.1, 762
12.4, 718
12.7501, 728
13.05, 735
13.35, 727
13.65, 721
13.95, 745
14.25, 742
14.55, 742
14.8501, 730
15.15, 726
15.45, 708
15.75, 743
16.05, 722
16.35, 729
16.65, 750
16.9501, 789
17.25, 742
17.6, 766
17.9001, 749
18.2, 746
18.5, 730
18.8, 758
19.1001, 773
19.4, 735
19.7, 719
20.0001, 744
20.3, 724
20.6, 749
20.9, 729
21.2001, 727
21.5, 719
21.8, 731
22.1001, 766
22.4, 712
22.75, 714
23.05, 728
23.3501, 719
23.65, 740
23.95, 743
24.2501, 701
24.55, 719
24.85, 781
25.15, 698
25.4501, 713
25.75, 758
26.05, 744
26.3501, 707
26.65, 768
26.95, 762
27.25, 726
27.6, 719
27.9, 754
28.2, 777
28.5001, 728
28.8, 713
29.1, 759
29.4, 780
29.7, 731
30, 744
