Time (s), Number of Contacts
0, 3649
0.300048, 9581
0.600029, 9603
0.90001, 9077
1.20006, 7165
1.50004, 4496
1.80002, 6684
2.1, 8059
2.40005, 6179
2.75003, 5363
3.05001, 7270
3.35005, 7189
3.65004, 5321
3.95002, 5710
4.25006, 7008
4.55004, 6528
4.85003, 5341
5.15001, 6007
5.45005, 6904
5.75004, 5979
6.05002, 5420
6.35006, 6141
6.65004, 6262
6.95003, 5850
7.25001, 5975
7.60005, 6463
7.90003, 5911
8.20001, 5721
8.50006, 6193
8.80004, 6540
9.10002, 5883
9.4, 5887
9.70005, 6196
10, 6303
10.3, 5734
10.6001, 5877
10.9, 6236
11.2, 6262
11.5, 5791
11.8001, 5966
12.1, 6167
12.4, 6237
12.7501, 5916
13.05, 6077
13.35, 6026
13.65, 6063
13.95, 6101
14.25, 6159
14.55, 5998
14.8501, 5962
15.15, 5992
15.45, 5954
15.75, 6272
16.05, 6235
16.35, 5760
16.65, 6031
16.9501, 6274
17.25, 5895
17.6, 5994
17.9001, 6216
18.2, 6083
18.5, 5707
18.8, 6197
19.1001, 6329
19.4, 5929
19.7, 5897
20.0001, 6132
20.3, 6040
20.6, 5910
20.9, 6096
21.2001, 6038
21.5, 6021
21.8, 6226
22.1001, 5987
22.4, 5923
22.75, 6235
23.05, 6018
23.3501, 6054
23.65, 6222
23.95, 6065
24.2501, 5838
24.55, 5952
24.85, 6381
25.15, 5958
25.4501, 5754
25.75, 6360
26.05, 6096
26.3501, 5736
26.65, 6289
26.95, 6235
27.25, 5905
27.6, 5913
27.9, 6090
28.2, 6267
28.5001, 5866
28.8, 5811
29.1, 6235
29.4, 6365
29.7, 5739
30, 5978
