Time (s), Number of Contacts
0, 432
0.300048, 991
0.600029, 975
0.90001, 874
1.20006, 649
1.50004, 638
1.80002, 877
2.1, 875
2.40005, 640
2.75003, 775
3.05001, 890
3.35005, 728
3.65004, 690
3.95002, 796
4.25006, 800
4.55004, 699
4.85003, 781
5.15001, 810
5.45005, 778
5.75004, 712
6.05002, 790
6.35006, 810
6.65004, 788
6.95003, 727
7.25001, 775
7.60005, 808
7.90003, 766
8.20001, 747
8.50006, 818
8.80004, 765
9.10002, 773
9.4, 768
9.70005, 765
10, 804
10.3, 773
10.6001, 754
10.9, 809
11.2, 786
11.5, 754
11.8001, 780
12.1, 792
12.4, 766
12.7501, 770
13.05, 792
13.35, 771
13.65, 749
13.95, 769
14.25, 768
14.55, 755
14.8501, 816
15.15, 817
15.45, 756
15.75, 772
16.05, 827
16.35, 791
16.65, 762
16.9501, 799
17.25, 785
17.6, 777
17.9001, 782
18.2, 779
18.5, 761
18.8, 759
19.1001, 786
19.4, 791
19.7, 790
20.0001, 769
20.3, 760
20.6, 793
20.9, 756
21.2001, 756
21.5, 778
21.8, 759
22.1001, 794
22.4, 788
22.75, 790
23.05, 769
23.3501, 819
23.65, 803
23.95, 795
24.2501, 764
24.55, 760
24.85, 801
25.15, 792
25.4501, 738
25.75, 792
26.05, 821
26.3501, 768
26.65, 760
26.95, 791
27.25, 793
27.6, 746
27.9, 801
28.2, 770
28.5001, 788
28.8, 771
29.1, 817
29.4, 815
29.7, 757
30, 784
