Time (s), Number of Contacts
0, 432
0.300048, 993
0.600029, 992
0.90001, 918
1.20006, 651
1.50004, 686
1.80002, 985
2.1, 879
2.40005, 719
2.75003, 891
3.05001, 897
3.35005, 783
3.65004, 763
3.95002, 962
4.25006, 851
4.55004, 752
4.85003, 890
5.15001, 910
5.45005, 769
5.75004, 834
6.05002, 947
6.35006, 841
6.65004, 785
6.95003, 945
7.25001, 901
7.60005, 765
7.90003, 933
8.20001, 920
8.50006, 752
8.80004, 869
9.10002, 950
9.4, 821
9.70005, 873
10, 908
10.3, 870
10.6001, 832
10.9, 896
11.2, 864
11.5, 842
11.8001, 860
12.1, 926
12.4, 869
12.7501, 770
13.05, 865
13.35, 930
13.65, 811
13.95, 871
14.25, 917
14.55, 838
14.8501, 816
15.15, 898
15.45, 906
15.75, 795
16.05, 840
16.35, 936
16.65, 846
16.9501, 821
17.25, 906
17.6, 847
17.9001, 834
18.2, 896
18.5, 871
18.8, 794
19.1001, 888
19.4, 917
19.7, 848
20.0001, 862
20.3, 926
20.6, 840
20.9, 818
21.2001, 918
21.5, 888
21.8, 809
22.1001, 882
22.4, 900
22.75, 805
23.05, 873
23.3501, 923
23.65, 831
23.95, 831
24.2501, 901
24.55, 883
24.85, 807
25.15, 820
25.4501, 960
25.75, 867
26.05, 814
26.3501, 919
26.65, 912
26.95, 799
27.25, 834
27.6, 969
27.9, 786
28.2, 780
28.5001, 916
28.8, 835
29.1, 794
29.4, 907
29.7, 871
30, 795
