Time (s), Number of Contacts
0, 432
0.300048, 1003
0.600029, 1004
0.90001, 888
1.20006, 563
1.50004, 636
1.80002, 982
2.1, 788
2.40005, 608
2.75003, 895
3.05001, 804
3.35005, 661
3.65004, 784
3.95002, 827
4.25006, 664
4.55004, 737
4.85003, 840
5.15001, 727
5.45005, 694
5.75004, 806
6.05002, 746
6.35006, 680
6.65004, 764
6.95003, 808
7.25001, 735
7.60005, 757
7.90003, 778
8.20001, 750
8.50006, 670
8.80004, 833
9.10002, 789
9.4, 659
9.70005, 793
10, 807
10.3, 640
10.6001, 743
10.9, 835
11.2, 709
11.5, 696
11.8001, 862
12.1, 756
12.4, 687
12.7501, 817
13.05, 790
13.35, 650
13.65, 779
13.95, 814
14.25, 704
14.55, 712
14.8501, 844
15.15, 707
15.45, 659
15.75, 845
16.05, 814
16.35, 633
16.65, 758
16.9501, 827
17.25, 670
17.6, 769
17.9001, 828
18.2, 764
18.5, 711
18.8, 780
19.1001, 779
19.4, 775
19.7, 701
20.0001, 732
20.3, 779
20.6, 728
20.9, 757
21.2001, 796
21.5, 753
21.8, 750
22.1001, 768
22.4, 770
22.75, 720
23.05, 781
23.3501, 755
23.65, 710
23.95, 812
24.2501, 759
24.55, 705
24.85, 759
25.15, 741
25.4501, 737
25.75, 784
26.05, 732
26.3501, 773
26.65, 771
26.95, 746
27.25, 727
27.6, 795
27.9, 749
28.2, 737
28.5001, 735
28.8, 723
29.1, 783
29.4, 742
29.7, 707
30, 742
