Time (s), Number of Contacts
0, 432
0.300048, 1036
0.600029, 1030
0.90001, 924
1.20006, 711
1.50004, 1093
1.80002, 1080
2.1, 822
2.40005, 1042
2.75003, 1077
3.05001, 872
3.35005, 981
3.65004, 1149
3.95002, 912
4.25006, 990
4.55004, 1103
4.85003, 1008
5.15001, 897
5.45005, 1032
5.75004, 1058
6.05002, 939
6.35006, 965
6.65004, 1060
6.95003, 978
7.25001, 913
7.60005, 1049
7.90003, 998
8.20001, 846
8.50006, 1024
8.80004, 1032
9.10002, 887
9.4, 969
9.70005, 1042
10, 962
10.3, 905
10.6001, 1014
10.9, 1045
11.2, 1016
11.5, 961
11.8001, 1031
12.1, 1014
12.4, 983
12.7501, 1044
13.05, 1010
13.35, 1009
13.65, 995
13.95, 1014
14.25, 1028
14.55, 965
14.8501, 993
15.15, 988
15.45, 992
15.75, 986
16.05, 981
16.35, 1011
16.65, 1034
16.9501, 989
17.25, 987
17.6, 969
17.9001, 947
18.2, 1099
18.5, 1003
18.8, 962
19.1001, 1029
19.4, 1072
19.7, 985
20.0001, 936
20.3, 1077
20.6, 982
20.9, 947
21.2001, 1048
21.5, 998
21.8, 945
22.1001, 1026
22.4, 1058
22.75, 948
23.05, 977
23.3501, 1066
23.65, 1011
23.95, 932
24.2501, 1006
24.55, 997
24.85, 1001
25.15, 936
25.4501, 1072
25.75, 1008
26.05, 975
26.3501, 1049
26.65, 1048
26.95, 997
27.25, 992
27.6, 1046
27.9, 1000
28.2, 999
28.5001, 967
28.8, 985
29.1, 980
29.4, 965
29.7, 1057
30, 1005
