Time (s), Number of Contacts
0, 3649
0.300048, 10917
0.600029, 10906
0.90001, 10109
1.20006, 10263
1.50004, 10509
1.80002, 10276
2.1, 10218
2.40005, 10355
2.75003, 10234
3.05001, 10177
3.35005, 10229
3.65004, 10083
3.95002, 9975
4.25006, 10091
4.55004, 10135
4.85003, 9958
5.15001, 10009
5.45005, 9975
5.75004, 9981
6.05002, 9967
6.35006, 10022
6.65004, 9957
6.95003, 9902
7.25001, 9982
7.60005, 9887
7.90003, 9926
8.20001, 10002
8.50006, 9937
8.80004, 9865
9.10002, 9896
9.4, 9994
9.70005, 9977
10, 9933
10.3, 10027
10.6001, 9971
10.9, 9974
11.2, 10035
11.5, 9963
11.8001, 9890
12.1, 10022
12.4, 9992
12.7501, 10009
13.05, 9937
13.35, 9964
13.65, 9855
13.95, 9915
14.25, 9903
14.55, 9823
14.8501, 10043
15.15, 9952
15.45, 9896
15.75, 9926
16.05, 9827
16.35, 9920
16.65, 9960
16.9501, 9880
17.25, 9919
17.6, 9859
17.9001, 9741
18.2, 9920
18.5, 9730
18.8, 9836
19.1001, 9864
19.4, 9858
19.7, 9931
20.0001, 10112
20.3, 9990
20.6, 10034
20.9, 9976
21.2001, 10033
21.5, 10066
21.8, 10034
22.1001, 10034
22.4, 9997
22.75, 10072
23.05, 9927
23.3501, 9941
23.65, 9876
23.95, 9988
24.2501, 10022
24.55, 9905
24.85, 9996
25.15, 9945
25.4501, 9941
25.75, 9946
26.05, 9816
26.3501, 9821
26.65, 9932
26.95, 10038
27.25, 9926
27.6, 9971
27.9, 9892
28.2, 9941
28.5001, 10000
28.8, 10033
29.1, 9921
29.4, 9905
29.7, 9908
30, 9963
