Time (s), Number of Contacts
0, 3649
0.300048, 10884
0.600029, 10878
0.90001, 10128
1.20006, 10153
1.50004, 10395
1.80002, 10068
2.1, 10026
2.40005, 10061
2.75003, 9974
3.05001, 9974
3.35005, 10040
3.65004, 10024
3.95002, 9855
4.25006, 10007
4.55004, 9899
4.85003, 9821
5.15001, 9811
5.45005, 9868
5.75004, 9788
6.05002, 9931
6.35006, 9975
6.65004, 9821
6.95003, 9788
7.25001, 9783
7.60005, 10109
7.90003, 9778
8.20001, 9734
8.50006, 9654
8.80004, 9613
9.10002, 9783
9.4, 9834
9.70005, 9963
10, 9937
10.3, 9956
10.6001, 9927
10.9, 9797
11.2, 9953
11.5, 9926
11.8001, 9826
12.1, 9915
12.4, 9928
12.7501, 9754
13.05, 9832
13.35, 9849
13.65, 9850
13.95, 10108
14.25, 9874
14.55, 9893
14.8501, 10007
15.15, 10021
15.45, 10089
15.75, 9988
16.05, 9912
16.35, 9853
16.65, 9956
16.9501, 9921
17.25, 9959
17.6, 10036
17.9001, 9980
18.2, 9973
18.5, 9930
18.8, 10035
19.1001, 9725
19.4, 9888
19.7, 9988
20.0001, 9764
20.3, 9829
20.6, 9876
20.9, 9898
21.2001, 9886
21.5, 9900
21.8, 9679
22.1001, 9831
22.4, 9801
22.75, 9835
23.05, 9952
23.3501, 9806
23.65, 9789
23.95, 9838
24.2501, 9806
24.55, 9871
24.85, 9761
25.15, 9825
25.4501, 9847
25.75, 9839
26.05, 9850
26.3501, 9721
26.65, 9741
26.95, 9916
27.25, 9848
27.6, 9788
27.9, 9746
28.2, 9857
28.5001, 9896
28.8, 9745
29.1, 9918
29.4, 9733
29.7, 9696
30, 9822
