Time (s), Number of Contacts
0, 3649
0.300048, 10032
0.600029, 9947
0.90001, 9083
1.20006, 5755
1.50004, 5831
1.80002, 8679
2.1, 7349
2.40005, 5815
2.75003, 7548
3.05001, 7902
3.35005, 5811
3.65004, 6408
3.95002, 7933
4.25006, 6580
4.55004, 5754
4.85003, 7098
5.15001, 6839
5.45005, 5863
5.75004, 6556
6.05002, 7068
6.35006, 6152
6.65004, 6022
6.95003, 7155
7.25001, 6542
7.60005, 5912
7.90003, 7119
8.20001, 6974
8.50006, 5803
8.80004, 6222
9.10002, 7179
9.4, 6326
9.70005, 6007
10, 6885
10.3, 6930
10.6001, 5966
10.9, 6295
11.2, 7068
11.5, 6368
11.8001, 6308
12.1, 7057
12.4, 6531
12.7501, 6140
13.05, 6824
13.35, 6753
13.65, 5999
13.95, 6317
14.25, 6966
14.55, 6258
14.8501, 6347
15.15, 6988
15.45, 6580
15.75, 6204
16.05, 7039
16.35, 6258
16.65, 6001
16.9501, 6808
17.25, 6962
17.6, 6030
17.9001, 6689
18.2, 6752
18.5, 6513
18.8, 6482
19.1001, 6671
19.4, 6725
19.7, 6274
20.0001, 6382
20.3, 6669
20.6, 6872
20.9, 6012
21.2001, 6165
21.5, 6647
21.8, 6456
22.1001, 6392
22.4, 6274
22.75, 6491
23.05, 6813
23.3501, 6254
23.65, 6315
23.95, 6852
24.2501, 6628
24.55, 6332
24.85, 6471
25.15, 6664
25.4501, 6392
25.75, 6521
26.05, 6656
26.3501, 6811
26.65, 6675
26.95, 6524
27.25, 6582
27.6, 6608
27.9, 6231
28.2, 6465
28.5001, 6442
28.8, 6371
29.1, 6397
29.4, 6482
29.7, 6324
30, 6590
