Time (s), Number of Contacts
0, 432
0.300048, 1046
0.600029, 1041
0.90001, 971
1.20006, 655
1.50004, 926
1.80002, 1109
2.1, 860
2.40005, 829
2.75003, 1121
3.05001, 892
3.35005, 886
3.65004, 1133
3.95002, 993
4.25006, 822
4.55004, 1049
4.85003, 1100
5.15001, 836
5.45005, 912
5.75004, 1154
6.05002, 921
6.35006, 795
6.65004, 1122
6.95003, 1071
7.25001, 825
7.60005, 976
7.90003, 1071
8.20001, 907
8.50006, 885
8.80004, 1049
9.10002, 931
9.4, 868
9.70005, 1003
10, 1013
10.3, 895
10.6001, 900
10.9, 953
11.2, 946
11.5, 975
11.8001, 909
12.1, 959
12.4, 965
12.7501, 928
13.05, 873
13.35, 938
13.65, 998
13.95, 887
14.25, 922
14.55, 1018
14.8501, 951
15.15, 852
15.45, 1042
15.75, 1022
16.05, 816
16.35, 964
16.65, 1037
16.9501, 872
17.25, 966
17.6, 975
17.9001, 843
18.2, 1006
18.5, 1044
18.8, 847
19.1001, 979
19.4, 1067
19.7, 942
20.0001, 969
20.3, 1074
20.6, 966
20.9, 965
21.2001, 1006
21.5, 981
21.8, 888
22.1001, 996
22.4, 992
22.75, 1019
23.05, 1047
23.3501, 1016
23.65, 949
23.95, 1046
24.2501, 916
24.55, 973
24.85, 1081
25.15, 954
25.4501, 940
25.75, 1068
26.05, 992
26.3501, 851
26.65, 949
26.95, 1055
27.25, 865
27.6, 911
27.9, 1042
28.2, 924
28.5001, 863
28.8, 1009
29.1, 1074
29.4, 863
29.7, 927
30, 1090
