Time (s), Number of Contacts
0, 3649
0.300048, 12411
0.600029, 10935
0.90001, 7436
1.20006, 7307
1.50004, 8834
1.80002, 8187
2.1, 7654
2.40005, 8319
2.75003, 8131
3.05001, 7894
3.35005, 7888
3.65004, 7812
3.95002, 8070
4.25006, 8132
4.55004, 8066
4.85003, 7956
5.15001, 8056
5.45005, 7903
5.75004, 7888
6.05002, 7914
6.35006, 7910
6.65004, 7925
6.95003, 7948
7.25001, 8265
7.60005, 7662
7.90003, 7916
8.20001, 8167
8.50006, 7852
8.80004, 7749
9.10002, 8070
9.4, 8115
9.70005, 7869
10, 7839
10.3, 7915
10.6001, 7748
10.9, 7772
11.2, 8209
11.5, 8018
11.8001, 8064
12.1, 8187
12.4, 8207
12.7501, 8046
13.05, 7830
13.35, 8282
13.65, 7960
13.95, 7457
14.25, 7985
14.55, 7980
14.8501, 7632
15.15, 7745
15.45, 7941
15.75, 8003
16.05, 7788
16.35, 7967
16.65, 8087
16.9501, 8009
17.25, 7844
17.6, 7669
17.9001, 8018
18.2, 7908
18.5, 7983
18.8, 8018
19.1001, 7921
19.4, 8001
19.7, 8308
20.0001, 7538
20.3, 7772
20.6, 8095
20.9, 8051
21.2001, 7899
21.5, 7852
21.8, 8085
22.1001, 7945
22.4, 8064
22.75, 8181
23.05, 8071
23.3501, 7756
23.65, 7832
23.95, 8139
24.2501, 7848
24.55, 7509
24.85, 7837
25.15, 8238
25.4501, 7962
25.75, 7928
26.05, 7752
26.3501, 7949
26.65, 8033
26.95, 8062
27.25, 8061
27.6, 8013
27.9, 7966
28.2, 8064
28.5001, 7863
28.8, 7882
29.1, 8072
29.4, 8058
29.7, 8061
30, 7850
