Time (s), Number of Contacts
0, 432
0.300048, 1037
0.600029, 1025
0.90001, 905
1.20006, 955
1.50004, 969
1.80002, 925
2.1, 964
2.40005, 974
2.75003, 966
3.05001, 967
3.35005, 986
3.65004, 978
3.95002, 1011
4.25006, 999
4.55004, 1014
4.85003, 1016
5.15001, 1034
5.45005, 1017
5.75004, 1029
6.05002, 1018
6.35006, 1021
6.65004, 1021
6.95003, 1034
7.25001, 1027
7.60005, 1020
7.90003, 1048
8.20001, 1046
8.50006, 1064
8.80004, 1054
9.10002, 1070
9.4, 1065
9.70005, 1074
10, 1069
10.3, 1058
10.6001, 1059
10.9, 1106
11.2, 1101
11.5, 1091
11.8001, 1105
12.1, 1090
12.4, 1094
12.7501, 1093
13.05, 1092
13.35, 1112
13.65, 1099
13.95, 1101
14.25, 1117
14.55, 1122
14.8501, 1128
15.15, 1086
15.45, 1094
15.75, 1128
16.05, 1108
16.35, 1115
16.65, 1140
16.9501, 1115
17.25, 1088
17.6, 1132
17.9001, 1133
18.2, 1106
18.5, 1160
18.8, 1135
19.1001, 1151
19.4, 1123
19.7, 1147
20.0001, 1153
20.3, 1164
20.6, 1145
20.9, 1129
21.2001, 1152
21.5, 1142
21.8, 1147
22.1001, 1145
22.4, 1170
22.75, 1172
23.05, 1115
23.3501, 1151
23.65, 1162
23.95, 1155
24.2501, 1143
24.55, 1161
24.85, 1158
25.15, 1157
25.4501, 1166
25.75, 1142
26.05, 1161
26.3501, 1182
26.65, 1188
26.95, 1171
27.25, 1176
27.6, 1176
27.9, 1172
28.2, 1171
28.5001, 1182
28.8, 1172
29.1, 1169
29.4, 1169
29.7, 1157
30, 1180
