Time (s), Number of Contacts
0, 432
0.300048, 1059
0.600029, 1053
0.90001, 999
1.20006, 809
1.50004, 1002
1.80002, 1182
2.1, 1034
2.40005, 914
2.75003, 1171
3.05001, 1125
3.35005, 957
3.65004, 1080
3.95002, 1160
4.25006, 1014
4.55004, 1048
4.85003, 1170
5.15001, 1083
5.45005, 1019
5.75004, 1100
6.05002, 1124
6.35006, 1060
6.65004, 1043
6.95003, 1124
7.25001, 1066
7.60005, 1002
7.90003, 1117
8.20001, 1113
8.50006, 1050
8.80004, 1064
9.10002, 1073
9.4, 1063
9.70005, 1099
10, 1092
10.3, 1088
10.6001, 1056
10.9, 1057
11.2, 1128
11.5, 1041
11.8001, 1007
12.1, 1135
12.4, 1130
12.7501, 1014
13.05, 1081
13.35, 1105
13.65, 1006
13.95, 1070
14.25, 1122
14.55, 1082
14.8501, 1007
15.15, 1082
15.45, 1136
15.75, 1065
16.05, 1072
16.35, 1129
16.65, 1113
16.9501, 1013
17.25, 1076
17.6, 1140
17.9001, 1056
18.2, 1039
18.5, 1098
18.8, 1068
19.1001, 1085
19.4, 1110
19.7, 1069
20.0001, 1057
20.3, 1105
20.6, 1093
20.9, 1071
21.2001, 1056
21.5, 1125
21.8, 1058
22.1001, 1068
22.4, 1122
22.75, 1095
23.05, 1036
23.3501, 1070
23.65, 1098
23.95, 1078
24.2501, 1087
24.55, 1113
24.85, 1049
25.15, 1062
25.4501, 1126
25.75, 1084
26.05, 1035
26.3501, 1071
26.65, 1111
26.95, 1046
27.25, 1100
27.6, 1078
27.9, 1037
28.2, 1087
28.5001, 1108
28.8, 1058
29.1, 1071
29.4, 1071
29.7, 1046
30, 1062
