Time (s), Number of Contacts
0, 432
0.300048, 1050
0.600029, 1049
0.90001, 909
1.20006, 661
1.50004, 953
1.80002, 1068
2.1, 774
2.40005, 886
2.75003, 1040
3.05001, 836
3.35005, 831
3.65004, 1007
3.95002, 952
4.25006, 886
4.55004, 936
4.85003, 972
5.15001, 884
5.45005, 889
5.75004, 946
6.05002, 960
6.35006, 896
6.65004, 929
6.95003, 953
7.25001, 934
7.60005, 957
7.90003, 930
8.20001, 895
8.50006, 954
8.80004, 938
9.10002, 913
9.4, 935
9.70005, 909
10, 922
10.3, 917
10.6001, 945
10.9, 865
11.2, 936
11.5, 965
11.8001, 917
12.1, 855
12.4, 1025
12.7501, 941
13.05, 859
13.35, 956
13.65, 947
13.95, 865
14.25, 915
14.55, 950
14.8501, 847
15.15, 893
15.45, 959
15.75, 925
16.05, 922
16.35, 973
16.65, 921
16.9501, 901
17.25, 924
17.6, 949
17.9001, 903
18.2, 925
18.5, 940
18.8, 932
19.1001, 863
19.4, 916
19.7, 957
20.0001, 878
20.3, 938
20.6, 910
20.9, 906
21.2001, 913
21.5, 964
21.8, 919
22.1001, 902
22.4, 1026
22.75, 908
23.05, 868
23.3501, 982
23.65, 944
23.95, 909
24.2501, 944
24.55, 908
24.85, 894
25.15, 963
25.4501, 914
25.75, 926
26.05, 961
26.3501, 927
26.65, 920
26.95, 919
27.25, 959
27.6, 894
27.9, 950
28.2, 929
28.5001, 873
28.8, 995
29.1, 933
29.4, 878
29.7, 919
30, 978
