Time (s), Number of Contacts
0, 432
0.300048, 1012
0.600029, 1021
0.90001, 912
1.20006, 650
1.50004, 755
1.80002, 1025
2.1, 860
2.40005, 723
2.75003, 951
3.05001, 937
3.35005, 758
3.65004, 831
3.95002, 982
4.25006, 829
4.55004, 762
4.85003, 930
5.15001, 887
5.45005, 771
5.75004, 874
6.05002, 918
6.35006, 822
6.65004, 862
6.95003, 946
7.25001, 866
7.60005, 818
7.90003, 915
8.20001, 892
8.50006, 801
8.80004, 845
9.10002, 935
9.4, 838
9.70005, 806
10, 944
10.3, 881
10.6001, 761
10.9, 850
11.2, 893
11.5, 770
11.8001, 841
12.1, 915
12.4, 830
12.7501, 853
13.05, 897
13.35, 909
13.65, 815
13.95, 888
14.25, 903
14.55, 814
14.8501, 828
15.15, 896
15.45, 854
15.75, 819
16.05, 921
16.35, 847
16.65, 848
16.9501, 875
17.25, 888
17.6, 829
17.9001, 877
18.2, 867
18.5, 839
18.8, 840
19.1001, 905
19.4, 867
19.7, 868
20.0001, 858
20.3, 887
20.6, 885
20.9, 850
21.2001, 850
21.5, 886
21.8, 882
22.1001, 862
22.4, 823
22.75, 880
23.05, 905
23.3501, 834
23.65, 853
23.95, 903
24.2501, 886
24.55, 847
24.85, 879
25.15, 889
25.4501, 819
25.75, 853
26.05, 874
26.3501, 880
26.65, 879
26.95, 840
27.25, 843
27.6, 913
27.9, 857
28.2, 895
28.5001, 849
28.8, 882
29.1, 872
29.4, 863
29.7, 868
30, 886
