Time (s), Number of Contacts
0, 432
0.300048, 993
0.600029, 965
0.90001, 805
1.20006, 850
1.50004, 854
1.80002, 816
2.1, 833
2.40005, 836
2.75003, 825
3.05001, 822
3.35005, 810
3.65004, 819
3.95002, 813
4.25006, 815
4.55004, 793
4.85003, 821
5.15001, 824
5.45005, 826
5.75004, 837
6.05002, 819
6.35006, 840
6.65004, 822
6.95003, 827
7.25001, 827
7.60005, 839
7.90003, 806
8.20001, 823
8.50006, 788
8.80004, 816
9.10002, 810
9.4, 808
9.70005, 822
10, 814
10.3, 812
10.6001, 821
10.9, 813
11.2, 837
11.5, 830
11.8001, 821
12.1, 827
12.4, 812
12.7501, 819
13.05, 813
13.35, 830
13.65, 827
13.95, 813
14.25, 814
14.55, 799
14.8501, 806
15.15, 828
15.45, 808
15.75, 793
16.05, 805
16.35, 801
16.65, 826
16.9501, 812
17.25, 832
17.6, 827
17.9001, 853
18.2, 831
18.5, 822
18.8, 838
19.1001, 851
19.4, 844
19.7, 846
20.0001, 837
20.3, 824
20.6, 837
20.9, 851
21.2001, 847
21.5, 849
21.8, 846
22.1001, 846
22.4, 859
22.75, 861
23.05, 868
23.3501, 872
23.65, 881
23.95, 868
24.2501, 868
24.55, 874
24.85, 876
25.15, 878
25.4501, 853
25.75, 865
26.05, 862
26.3501, 868
26.65, 860
26.95, 884
27.25, 862
27.6, 884
27.9, 867
28.2, 860
28.5001, 852
28.8, 872
29.1, 879
29.4, 893
29.7, 882
30, 875
