Time (s), Number of Contacts
0, 432
0.300048, 1024
0.600029, 1018
0.90001, 937
1.20006, 626
1.50004, 714
1.80002, 1055
2.1, 911
2.40005, 691
2.75003, 942
3.05001, 968
3.35005, 701
3.65004, 826
3.95002, 1020
4.25006, 867
4.55004, 749
4.85003, 955
5.15001, 891
5.45005, 772
5.75004, 824
6.05002, 969
6.35006, 812
6.65004, 763
6.95003, 891
7.25001, 913
7.60005, 781
7.90003, 798
8.20001, 887
8.50006, 864
8.80004, 821
9.10002, 858
9.4, 850
9.70005, 851
10, 844
10.3, 863
10.6001, 845
10.9, 800
11.2, 853
11.5, 868
11.8001, 820
12.1, 849
12.4, 823
12.7501, 808
13.05, 870
13.35, 871
13.65, 806
13.95, 828
14.25, 904
14.55, 841
14.8501, 827
15.15, 869
15.45, 912
15.75, 855
16.05, 839
16.35, 847
16.65, 846
16.9501, 826
17.25, 828
17.6, 834
17.9001, 892
18.2, 843
18.5, 810
18.8, 894
19.1001, 874
19.4, 824
19.7, 826
20.0001, 892
20.3, 868
20.6, 855
20.9, 837
21.2001, 869
21.5, 838
21.8, 821
22.1001, 874
22.4, 884
22.75, 847
23.05, 838
23.3501, 866
23.65, 846
23.95, 827
24.2501, 827
24.55, 863
24.85, 848
25.15, 852
25.4501, 835
25.75, 841
26.05, 828
26.3501, 827
26.65, 851
26.95, 823
27.25, 829
27.6, 823
27.9, 849
28.2, 836
28.5001, 853
28.8, 875
29.1, 850
29.4, 865
29.7, 858
30, 860
