Time (s), Number of Contacts
0, 432
0.300048, 1117
0.600029, 1131
0.90001, 1072
1.20006, 1210
1.50004, 1292
1.80002, 1242
2.1, 1247
2.40005, 1305
2.75003, 1315
3.05001, 1341
3.35005, 1320
3.65004, 1354
3.95002, 1339
4.25006, 1344
4.55004, 1348
4.85003, 1325
5.15001, 1371
5.45005, 1323
5.75004, 1324
6.05002, 1358
6.35006, 1334
6.65004, 1365
6.95003, 1359
7.25001, 1390
7.60005, 1355
7.90003, 1355
8.20001, 1380
8.50006, 1377
8.80004, 1351
9.10002, 1368
9.4, 1340
9.70005, 1324
10, 1336
10.3, 1345
10.6001, 1335
10.9, 1344
11.2, 1373
11.5, 1363
11.8001, 1343
12.1, 1359
12.4, 1353
12.7501, 1364
13.05, 1361
13.35, 1362
13.65, 1326
13.95, 1345
14.25, 1382
14.55, 1382
14.8501, 1359
15.15, 1331
15.45, 1344
15.75, 1345
16.05, 1330
16.35, 1362
16.65, 1345
16.9501, 1336
17.25, 1344
17.6, 1322
17.9001, 1347
18.2, 1370
18.5, 1370
18.8, 1357
19.1001, 1374
19.4, 1334
19.7, 1360
20.0001, 1320
20.3, 1383
20.6, 1384
20.9, 1386
21.2001, 1344
21.5, 1340
21.8, 1356
22.1001, 1338
22.4, 1354
22.75, 1334
23.05, 1346
23.3501, 1337
23.65, 1343
23.95, 1363
24.2501, 1341
24.55, 1308
24.85, 1335
25.15, 1373
25.4501, 1365
25.75, 1368
26.05, 1347
26.3501, 1360
26.65, 1372
26.95, 1367
27.25, 1350
27.6, 1343
27.9, 1345
28.2, 1369
28.5001, 1354
28.8, 1343
29.1, 1369
29.4, 1361
29.7, 1363
30, 1338
