Time (s), Number of Contacts
0, 3649
0.300048, 10118
0.600029, 9930
0.90001, 9269
1.20006, 9358
1.50004, 9802
1.80002, 9507
2.1, 9285
2.40005, 9537
2.75003, 9285
3.05001, 9094
3.35005, 9361
3.65004, 9097
3.95002, 9097
4.25006, 9352
4.55004, 9201
4.85003, 9096
5.15001, 9226
5.45005, 9005
5.75004, 8589
6.05002, 8591
6.35006, 8552
6.65004, 8511
6.95003, 8708
7.25001, 8763
7.60005, 8345
7.90003, 8598
8.20001, 8530
8.50006, 8501
8.80004, 8577
9.10002, 8630
9.4, 8352
9.70005, 8345
10, 8467
10.3, 8623
10.6001, 8207
10.9, 8416
11.2, 8409
11.5, 8655
11.8001, 8645
12.1, 8655
12.4, 8742
12.7501, 8797
13.05, 8713
13.35, 8779
13.65, 8649
13.95, 8675
14.25, 8895
14.55, 8776
14.8501, 8437
15.15, 8540
15.45, 8549
15.75, 8467
16.05, 8266
16.35, 8497
16.65, 8636
16.9501, 8500
17.25, 8839
17.6, 8650
17.9001, 8608
18.2, 8688
18.5, 8686
18.8, 8736
19.1001, 8735
19.4, 8776
19.7, 8890
20.0001, 8498
20.3, 8727
20.6, 8667
20.9, 8664
21.2001, 8860
21.5, 8582
21.8, 8609
22.1001, 8454
22.4, 8420
22.75, 8594
23.05, 8861
23.3501, 8771
23.65, 8825
23.95, 8527
24.2501, 8428
24.55, 8818
24.85, 8711
25.15, 8742
25.4501, 8723
25.75, 8503
26.05, 8757
26.3501, 8528
26.65, 8742
26.95, 8847
27.25, 8865
27.6, 8774
27.9, 8677
28.2, 8538
28.5001, 8693
28.8, 8813
29.1, 8552
29.4, 8477
29.7, 8729
30, 8304
