Time (s), Number of Contacts
0, 3649
0.300048, 9987
0.600029, 9962
0.90001, 8964
1.20006, 5688
1.50004, 6292
1.80002, 8942
2.1, 6877
2.40005, 6334
2.75003, 8107
3.05001, 6651
3.35005, 6214
3.65004, 7638
3.95002, 7541
4.25006, 6027
4.55004, 7300
4.85003, 8042
5.15001, 6266
5.45005, 6427
5.75004, 8126
6.05002, 7171
6.35006, 5955
6.65004, 7755
6.95003, 7829
7.25001, 6079
7.60005, 7139
7.90003, 8029
8.20001, 6118
8.50006, 6511
8.80004, 7636
9.10002, 6753
9.4, 6370
9.70005, 7227
10, 7163
10.3, 6492
10.6001, 7167
10.9, 6893
11.2, 5801
11.5, 6613
11.8001, 7596
12.1, 6269
12.4, 6320
12.7501, 7985
13.05, 6515
13.35, 5914
13.65, 7545
13.95, 7316
14.25, 5994
14.55, 7039
14.8501, 7837
15.15, 5907
15.45, 6734
15.75, 7489
16.05, 6772
16.35, 6504
16.65, 7226
16.9501, 7040
17.25, 6083
17.6, 7013
17.9001, 7624
18.2, 6755
18.5, 6634
18.8, 7167
19.1001, 6600
19.4, 6730
19.7, 7153
20.0001, 6655
20.3, 6892
20.6, 7062
20.9, 6697
21.2001, 6829
21.5, 6999
21.8, 6552
22.1001, 6730
22.4, 6898
22.75, 6425
23.05, 6509
23.3501, 7312
23.65, 6871
23.95, 6328
24.2501, 6999
24.55, 6951
24.85, 6617
25.15, 6724
25.4501, 7192
25.75, 6834
26.05, 6575
26.3501, 7003
26.65, 7130
26.95, 6480
27.25, 6783
27.6, 7161
27.9, 6702
28.2, 6324
28.5001, 6753
28.8, 7317
29.1, 6747
29.4, 6915
29.7, 7577
30, 6679
