Time (s), Number of Contacts
0, 432
0.300048, 1014
0.600029, 1002
0.90001, 863
1.20006, 882
1.50004, 950
1.80002, 890
2.1, 889
2.40005, 933
2.75003, 904
3.05001, 878
3.35005, 890
3.65004, 875
3.95002, 881
4.25006, 926
4.55004, 893
4.85003, 917
5.15001, 937
5.45005, 930
5.75004, 880
6.05002, 933
6.35006, 925
6.65004, 914
6.95003, 936
7.25001, 946
7.60005, 941
7.90003, 959
8.20001, 978
8.50006, 949
8.80004, 971
9.10002, 972
9.4, 955
9.70005, 951
10, 981
10.3, 964
10.6001, 971
10.9, 964
11.2, 970
11.5, 978
11.8001, 1011
12.1, 974
12.4, 993
12.7501, 1001
13.05, 1013
13.35, 1015
13.65, 1014
13.95, 998
14.25, 1007
14.55, 994
14.8501, 1011
15.15, 980
15.45, 1004
15.75, 981
16.05, 1013
16.35, 988
16.65, 1019
16.9501, 1001
17.25, 998
17.6, 1010
17.9001, 1018
18.2, 1033
18.5, 999
18.8, 1004
19.1001, 987
19.4, 1004
19.7, 1010
20.0001, 1002
20.3, 1000
20.6, 1001
20.9, 1022
21.2001, 996
21.5, 1006
21.8, 1000
22.1001, 1016
22.4, 1002
22.75, 993
23.05, 998
23.3501, 991
23.65, 1009
23.95, 1006
24.2501, 1022
24.55, 1011
24.85, 1017
25.15, 1008
25.4501, 997
25.75, 987
26.05, 1024
26.3501, 993
26.65, 1013
26.95, 977
27.25, 1007
27.6, 999
27.9, 1002
28.2, 1012
28.5001, 1002
28.8, 1012
29.1, 994
29.4, 992
29.7, 1010
30, 985
