Time (s), Number of Contacts
0, 432
0.300048, 1001
0.600029, 984
0.90001, 865
1.20006, 906
1.50004, 953
1.80002, 891
2.1, 894
2.40005, 942
2.75003, 880
3.05001, 880
3.35005, 934
3.65004, 919
3.95002, 888
4.25006, 933
4.55004, 918
4.85003, 904
5.15001, 936
5.45005, 928
5.75004, 911
6.05002, 941
6.35006, 925
6.65004, 937
6.95003, 942
7.25001, 928
7.60005, 940
7.90003, 958
8.20001, 930
8.50006, 946
8.80004, 968
9.10002, 961
9.4, 993
9.70005, 971
10, 962
10.3, 950
10.6001, 966
10.9, 973
11.2, 973
11.5, 972
11.8001, 985
12.1, 987
12.4, 991
12.7501, 994
13.05, 981
13.35, 992
13.65, 989
13.95, 974
14.25, 992
14.55, 988
14.8501, 966
15.15, 1004
15.45, 977
15.75, 983
16.05, 997
16.35, 1029
16.65, 1008
16.9501, 993
17.25, 1017
17.6, 1009
17.9001, 1020
18.2, 1010
18.5, 1030
18.8, 1006
19.1001, 1019
19.4, 1031
19.7, 1032
20.0001, 1033
20.3, 1014
20.6, 1007
20.9, 1007
21.2001, 1010
21.5, 1012
21.8, 1032
22.1001, 1036
22.4, 1027
22.75, 1054
23.05, 1019
23.3501, 1028
23.65, 1027
23.95, 1016
24.2501, 1033
24.55, 1014
24.85, 1010
25.15, 1028
25.4501, 1016
25.75, 1037
26.05, 1033
26.3501, 1015
26.65, 1022
26.95, 1053
27.25, 1049
27.6, 1039
27.9, 999
28.2, 1024
28.5001, 1040
28.8, 1008
29.1, 1027
29.4, 1023
29.7, 1023
30, 1009
