Time (s), Number of Contacts
0, 3649
0.300048, 10858
0.600029, 10622
0.90001, 8400
1.20006, 5686
1.50004, 7440
1.80002, 9090
2.1, 6299
2.40005, 6472
2.75003, 8399
3.05001, 6500
3.35005, 6433
3.65004, 7561
3.95002, 7210
4.25006, 6472
4.55004, 7077
4.85003, 7120
5.15001, 6557
5.45005, 6690
5.75004, 6931
6.05002, 6983
6.35006, 6755
6.65004, 6752
6.95003, 7027
7.25001, 6907
7.60005, 7080
7.90003, 6817
8.20001, 6653
8.50006, 7320
8.80004, 7123
9.10002, 6894
9.4, 7098
9.70005, 7048
10, 6322
10.3, 6973
10.6001, 7207
10.9, 6560
11.2, 6768
11.5, 7521
11.8001, 6813
12.1, 6809
12.4, 7311
12.7501, 6779
13.05, 6256
13.35, 7327
13.65, 7294
13.95, 6536
14.25, 6718
14.55, 7202
14.8501, 6723
15.15, 6857
15.45, 7293
15.75, 7156
16.05, 6911
16.35, 6963
16.65, 6963
16.9501, 6490
17.25, 6777
17.6, 7068
17.9001, 6854
18.2, 6659
18.5, 6963
18.8, 7145
19.1001, 6434
19.4, 6699
19.7, 7124
20.0001, 6795
20.3, 6745
20.6, 7002
20.9, 6888
21.2001, 6902
21.5, 7059
21.8, 6801
22.1001, 6651
22.4, 7652
22.75, 6626
23.05, 6382
23.3501, 7252
23.65, 7013
23.95, 6666
24.2501, 6939
24.55, 6977
24.85, 6784
25.15, 7308
25.4501, 6658
25.75, 6552
26.05, 7107
26.3501, 6804
26.65, 6682
26.95, 6853
27.25, 6889
27.6, 6811
27.9, 6928
28.2, 7011
28.5001, 6741
28.8, 7110
29.1, 7094
29.4, 6546
29.7, 6948
30, 7273
