Time (s), Number of Contacts
0, 3649
0.300048, 9696
0.600029, 9612
0.90001, 9107
1.20006, 6997
1.50004, 3809
1.80002, 5596
2.1, 7448
2.40005, 6414
2.75003, 4257
3.05001, 5762
3.35005, 6742
3.65004, 5407
3.95002, 4721
4.25006, 6056
4.55004, 6238
4.85003, 5196
5.15001, 5148
5.45005, 6028
5.75004, 6003
6.05002, 5395
6.35006, 5381
6.65004, 5753
6.95003, 5642
7.25001, 5501
7.60005, 5665
7.90003, 5575
8.20001, 5410
8.50006, 5632
8.80004, 5945
9.10002, 5521
9.4, 5440
9.70005, 5612
10, 5868
10.3, 5322
10.6001, 5470
10.9, 5759
11.2, 5677
11.5, 5470
11.8001, 5437
12.1, 5668
12.4, 5568
12.7501, 5419
13.05, 5596
13.35, 5630
13.65, 5564
13.95, 5594
14.25, 5474
14.55, 5457
14.8501, 5728
15.15, 5627
15.45, 5526
15.75, 5346
16.05, 5526
16.35, 5710
16.65, 5545
16.9501, 5416
17.25, 5581
17.6, 5743
17.9001, 5424
18.2, 5640
18.5, 5892
18.8, 5249
19.1001, 5352
19.4, 5785
19.7, 5668
20.0001, 5360
20.3, 5382
20.6, 5698
20.9, 5639
21.2001, 5424
21.5, 5300
21.8, 5652
22.1001, 5688
22.4, 5447
22.75, 5518
23.05, 5519
23.3501, 5644
23.65, 5682
23.95, 5481
24.2501, 5450
24.55, 5663
24.85, 5613
25.15, 5342
25.4501, 5642
25.75, 5604
26.05, 5321
26.3501, 5598
26.65, 5750
26.95, 5695
27.25, 5467
27.6, 5575
27.9, 5660
28.2, 5574
28.5001, 5494
28.8, 5579
29.1, 5618
29.4, 5438
29.7, 5712
30, 5653
