Time (s), Number of Contacts
0, 3649
0.300048, 9992
0.600029, 9853
0.90001, 8578
1.20006, 4654
1.50004, 4747
1.80002, 7672
2.1, 6463
2.40005, 4695
2.75003, 5975
3.05001, 6552
3.35005, 5237
3.65004, 5281
3.95002, 6263
4.25006, 6182
4.55004, 4927
4.85003, 5564
5.15001, 6080
5.45005, 5681
5.75004, 5397
6.05002, 5775
6.35006, 5929
6.65004, 5313
6.95003, 5577
7.25001, 6007
7.60005, 5615
7.90003, 5478
8.20001, 5662
8.50006, 5822
8.80004, 5588
9.10002, 5586
9.4, 5455
9.70005, 5549
10, 5800
10.3, 5467
10.6001, 5537
10.9, 5491
11.2, 5683
11.5, 5643
11.8001, 5675
12.1, 5350
12.4, 5569
12.7501, 5656
13.05, 5669
13.35, 5655
13.65, 5728
13.95, 5552
14.25, 5706
14.55, 5611
14.8501, 5620
15.15, 5745
15.45, 5612
15.75, 5475
16.05, 5523
16.35, 5535
16.65, 5816
16.9501, 5613
17.25, 5500
17.6, 5465
17.9001, 5637
18.2, 5600
18.5, 5644
18.8, 5524
19.1001, 5618
19.4, 5570
19.7, 5563
20.0001, 5744
20.3, 5687
20.6, 5337
20.9, 5627
21.2001, 5822
21.5, 5432
21.8, 5327
22.1001, 5700
22.4, 5604
22.75, 5607
23.05, 5508
23.3501, 5803
23.65, 5577
23.95, 5408
24.2501, 5404
24.55, 5704
24.85, 5654
25.15, 5689
25.4501, 5488
25.75, 5803
26.05, 5571
26.3501, 5568
26.65, 5592
26.95, 5469
27.25, 5410
27.6, 5477
27.9, 5751
28.2, 5661
28.5001, 5509
28.8, 5712
29.1, 5692
29.4, 5467
29.7, 5563
30, 5509
