Time (s), Number of Contacts
0, 3649
0.300048, 9620
0.600029, 9583
0.90001, 8967
1.20006, 6004
1.50004, 4838
1.80002, 7197
2.1, 7592
2.40005, 5321
2.75003, 5795
3.05001, 7476
3.35005, 5929
3.65004, 4933
3.95002, 6468
4.25006, 6644
4.55004, 5525
4.85003, 5687
5.15001, 6406
5.45005, 6012
5.75004, 5480
6.05002, 5709
6.35006, 6194
6.65004, 5924
6.95003, 5644
7.25001, 5663
7.60005, 6155
7.90003, 5664
8.20001, 5677
8.50006, 5973
8.80004, 5965
9.10002, 5783
9.4, 5810
9.70005, 5734
10, 5982
10.3, 5762
10.6001, 5717
10.9, 6003
11.2, 5951
11.5, 5489
11.8001, 5820
12.1, 6137
12.4, 5731
12.7501, 5630
13.05, 6154
13.35, 5987
13.65, 5542
13.95, 6033
14.25, 6028
14.55, 5713
14.8501, 5807
15.15, 6077
15.45, 5565
15.75, 5680
16.05, 6076
16.35, 5850
16.65, 5692
16.9501, 5729
17.25, 5880
17.6, 5814
17.9001, 5752
18.2, 6009
18.5, 5947
18.8, 5798
19.1001, 5851
19.4, 5888
19.7, 5866
20.0001, 5838
20.3, 5948
20.6, 5922
20.9, 5762
21.2001, 5806
21.5, 5830
21.8, 5791
22.1001, 5820
22.4, 5964
22.75, 5893
23.05, 5506
23.3501, 5901
23.65, 5957
23.95, 5813
24.2501, 5537
24.55, 5750
24.85, 5962
25.15, 5956
25.4501, 5693
25.75, 5813
26.05, 5911
26.3501, 5819
26.65, 5849
26.95, 5831
27.25, 5943
27.6, 5669
27.9, 5798
28.2, 6038
28.5001, 5725
28.8, 5484
29.1, 6108
29.4, 6016
29.7, 5430
30, 5860
