Time (s), Number of Contacts
0, 3649
0.300048, 9624
0.600029, 9507
0.90001, 9112
1.20006, 7323
1.50004, 4544
1.80002, 6244
2.1, 7788
2.40005, 6524
2.75003, 5208
3.05001, 6501
3.35005, 6820
3.65004, 5501
3.95002, 5687
4.25006, 6654
4.55004, 6427
4.85003, 5492
5.15001, 6016
5.45005, 6655
5.75004, 5909
6.05002, 5603
6.35006, 6360
6.65004, 6590
6.95003, 5660
7.25001, 5740
7.60005, 6524
7.90003, 6209
8.20001, 5702
8.50006, 6164
8.80004, 6389
9.10002, 6065
9.4, 5786
9.70005, 6181
10, 6143
10.3, 5752
10.6001, 6086
10.9, 6334
11.2, 5965
11.5, 5870
11.8001, 6080
12.1, 6287
12.4, 5909
12.7501, 6006
13.05, 6135
13.35, 5982
13.65, 6096
13.95, 5981
14.25, 6112
14.55, 6168
14.8501, 5909
15.15, 6067
15.45, 6295
15.75, 6013
16.05, 5771
16.35, 6150
16.65, 6266
16.9501, 5981
17.25, 5976
17.6, 6211
17.9001, 6181
18.2, 5895
18.5, 6081
18.8, 6305
19.1001, 5994
19.4, 5890
19.7, 6068
20.0001, 6350
20.3, 5986
20.6, 5874
20.9, 6138
21.2001, 6225
21.5, 5939
21.8, 6049
22.1001, 6211
22.4, 6060
22.75, 5957
23.05, 6010
23.3501, 6061
23.65, 6170
23.95, 5954
24.2501, 6187
24.55, 5953
24.85, 5982
25.15, 6099
25.4501, 6005
25.75, 6036
26.05, 6382
26.3501, 6176
26.65, 5710
26.95, 6036
27.25, 6366
27.6, 5923
27.9, 6056
28.2, 6095
28.5001, 6124
28.8, 6023
29.1, 5892
29.4, 6196
29.7, 6180
30, 5959
