Time (s), Number of Contacts
0, 432
0.300048, 982
0.600029, 979
0.90001, 926
1.20006, 738
1.50004, 661
1.80002, 869
2.1, 951
2.40005, 780
2.75003, 729
3.05001, 916
3.35005, 912
3.65004, 776
3.95002, 755
4.25006, 880
4.55004, 865
4.85003, 781
5.15001, 785
5.45005, 842
5.75004, 861
6.05002, 835
6.35006, 832
6.65004, 877
6.95003, 846
7.25001, 854
7.60005, 834
7.90003, 864
8.20001, 841
8.50006, 819
8.80004, 880
9.10002, 869
9.4, 858
9.70005, 854
10, 857
10.3, 832
10.6001, 869
10.9, 874
11.2, 836
11.5, 847
11.8001, 902
12.1, 865
12.4, 855
12.7501, 827
13.05, 890
13.35, 841
13.65, 861
13.95, 830
14.25, 837
14.55, 881
14.8501, 830
15.15, 822
15.45, 850
15.75, 843
16.05, 839
16.35, 839
16.65, 885
16.9501, 881
17.25, 862
17.6, 844
17.9001, 867
18.2, 870
18.5, 842
18.8, 800
19.1001, 856
19.4, 857
19.7, 857
20.0001, 844
20.3, 864
20.6, 875
20.9, 860
21.2001, 851
21.5, 844
21.8, 867
22.1001, 859
22.4, 859
22.75, 848
23.05, 830
23.3501, 846
23.65, 861
23.95, 848
24.2501, 849
24.55, 847
24.85, 839
25.15, 852
25.4501, 848
25.75, 819
26.05, 830
26.3501, 850
26.65, 870
26.95, 830
27.25, 853
27.6, 879
27.9, 850
28.2, 859
28.5001, 844
28.8, 850
29.1, 838
29.4, 851
29.7, 858
30, 823
