Time (s), Number of Contacts
0, 3649
0.300048, 10299
0.600029, 10051
0.90001, 9087
1.20006, 6665
1.50004, 7183
1.80002, 8404
2.1, 7414
2.40005, 7217
2.75003, 8063
3.05001, 7584
3.35005, 7389
3.65004, 7757
3.95002, 7788
4.25006, 7363
4.55004, 7535
4.85003, 7827
5.15001, 7451
5.45005, 7290
5.75004, 7523
6.05002, 7711
6.35006, 7506
6.65004, 7521
6.95003, 7528
7.25001, 7652
7.60005, 7586
7.90003, 7497
8.20001, 7626
8.50006, 7551
8.80004, 7280
9.10002, 7498
9.4, 7860
9.70005, 7441
10, 7389
10.3, 7687
10.6001, 7588
10.9, 7570
11.2, 7664
11.5, 7514
11.8001, 7292
12.1, 7643
12.4, 7699
12.7501, 7350
13.05, 7618
13.35, 7659
13.65, 7412
13.95, 7612
14.25, 7622
14.55, 7370
14.8501, 7656
15.15, 7618
15.45, 7607
15.75, 7425
16.05, 7577
16.35, 7622
16.65, 7453
16.9501, 7346
17.25, 7666
17.6, 7611
17.9001, 7464
18.2, 7597
18.5, 7578
18.8, 7537
19.1001, 7681
19.4, 7526
19.7, 7418
20.0001, 7631
20.3, 7553
20.6, 7623
20.9, 7546
21.2001, 7522
21.5, 7548
21.8, 7394
22.1001, 7510
22.4, 7577
22.75, 7551
23.05, 7678
23.3501, 7663
23.65, 7584
23.95, 7740
24.2501, 7587
24.55, 7497
24.85, 7540
25.15, 7564
25.4501, 7530
25.75, 7547
26.05, 7725
26.3501, 7537
26.65, 7472
26.95, 7461
27.25, 7577
27.6, 7460
27.9, 7526
28.2, 7680
28.5001, 7435
28.8, 7628
29.1, 7631
29.4, 7501
29.7, 7445
30, 7555
