Time (s), Number of Contacts
0, 3649
0.300048, 10057
0.600029, 9913
0.90001, 9383
1.20006, 9561
1.50004, 9847
1.80002, 9650
2.1, 9457
2.40005, 9681
2.75003, 9341
3.05001, 9326
3.35005, 9489
3.65004, 9357
3.95002, 9232
4.25006, 9354
4.55004, 9188
4.85003, 9161
5.15001, 9270
5.45005, 8999
5.75004, 9056
6.05002, 9202
6.35006, 9073
6.65004, 9077
6.95003, 9134
7.25001, 9157
7.60005, 9102
7.90003, 9245
8.20001, 8961
8.50006, 8810
8.80004, 9023
9.10002, 8995
9.4, 8955
9.70005, 9043
10, 8901
10.3, 8767
10.6001, 9021
10.9, 8856
11.2, 8868
11.5, 8966
11.8001, 8950
12.1, 8969
12.4, 8970
12.7501, 9003
13.05, 8985
13.35, 8840
13.65, 8962
13.95, 8788
14.25, 8901
14.55, 8850
14.8501, 8792
15.15, 8849
15.45, 8860
15.75, 8858
16.05, 8929
16.35, 8877
16.65, 8943
16.9501, 9026
17.25, 9054
17.6, 8931
17.9001, 9116
18.2, 9106
18.5, 9021
18.8, 8899
19.1001, 8972
19.4, 8812
19.7, 8991
20.0001, 8939
20.3, 8941
20.6, 8911
20.9, 9095
21.2001, 9023
21.5, 9028
21.8, 9075
22.1001, 8769
22.4, 9032
22.75, 9019
23.05, 8983
23.3501, 8943
23.65, 9084
23.95, 8916
24.2501, 8946
24.55, 8822
24.85, 8810
25.15, 8923
25.4501, 8899
25.75, 8845
26.05, 8631
26.3501, 8848
26.65, 8877
26.95, 8939
27.25, 8852
27.6, 9023
27.9, 8936
28.2, 8945
28.5001, 8912
28.8, 8857
29.1, 8742
29.4, 8942
29.7, 8808
30, 8857
