Time (s), Number of Contacts
0, 3649
0.300048, 10934
0.600029, 10770
0.90001, 10016
1.20006, 9660
1.50004, 10210
1.80002, 9782
2.1, 9025
2.40005, 9403
2.75003, 9170
3.05001, 8907
3.35005, 9186
3.65004, 9465
3.95002, 9208
4.25006, 9309
4.55004, 9390
4.85003, 9067
5.15001, 9255
5.45005, 9357
5.75004, 8847
6.05002, 8996
6.35006, 9350
6.65004, 8792
6.95003, 9048
7.25001, 9252
7.60005, 8974
7.90003, 9260
8.20001, 9302
8.50006, 9125
8.80004, 9155
9.10002, 9183
9.4, 8809
9.70005, 9247
10, 9341
10.3, 8917
10.6001, 8922
10.9, 9094
11.2, 9287
11.5, 9078
11.8001, 9093
12.1, 8870
12.4, 9012
12.7501, 8848
13.05, 9033
13.35, 8951
13.65, 8820
13.95, 8931
14.25, 9182
14.55, 9128
14.8501, 8771
15.15, 9075
15.45, 9184
15.75, 9106
16.05, 9134
16.35, 9095
16.65, 8897
16.9501, 9029
17.25, 9042
17.6, 9038
17.9001, 9003
18.2, 8968
18.5, 8897
18.8, 8996
19.1001, 8841
19.4, 9162
19.7, 9097
20.0001, 8798
20.3, 8936
20.6, 9204
20.9, 9314
21.2001, 9053
21.5, 9340
21.8, 9284
22.1001, 9004
22.4, 9082
22.75, 9080
23.05, 8787
23.3501, 9090
23.65, 9215
23.95, 9024
24.2501, 8948
24.55, 8918
24.85, 8791
25.15, 9114
25.4501, 9349
25.75, 9028
26.05, 8833
26.3501, 9155
26.65, 9178
26.95, 9083
27.25, 9145
27.6, 8880
27.9, 8919
28.2, 9310
28.5001, 9105
28.8, 8773
29.1, 8604
29.4, 8964
29.7, 8612
30, 8870
