Time (s), Number of Contacts
0, 432
0.300048, 1054
0.600029, 1046
0.90001, 956
1.20006, 993
1.50004, 1071
1.80002, 1034
2.1, 1051
2.40005, 1134
2.75003, 1076
3.05001, 1126
3.35005, 1144
3.65004, 1129
3.95002, 1099
4.25006, 1149
4.55004, 1123
4.85003, 1134
5.15001, 1161
5.45005, 1126
5.75004, 1139
6.05002, 1161
6.35006, 1158
6.65004, 1162
6.95003, 1200
7.25001, 1220
7.60005, 1159
7.90003, 1196
8.20001, 1182
8.50006, 1176
8.80004, 1187
9.10002, 1202
9.4, 1209
9.70005, 1182
10, 1203
10.3, 1202
10.6001, 1199
10.9, 1188
11.2, 1168
11.5, 1171
11.8001, 1220
12.1, 1202
12.4, 1203
12.7501, 1215
13.05, 1238
13.35, 1197
13.65, 1242
13.95, 1222
14.25, 1206
14.55, 1238
14.8501, 1213
15.15, 1218
15.45, 1211
15.75, 1219
16.05, 1229
16.35, 1249
16.65, 1249
16.9501, 1221
17.25, 1246
17.6, 1228
17.9001, 1222
18.2, 1236
18.5, 1204
18.8, 1260
19.1001, 1233
19.4, 1213
19.7, 1244
20.0001, 1223
20.3, 1269
20.6, 1245
20.9, 1254
21.2001, 1262
21.5, 1266
21.8, 1274
22.1001, 1245
22.4, 1254
22.75, 1251
23.05, 1239
23.3501, 1279
23.65, 1253
23.95, 1218
24.2501, 1239
24.55, 1251
24.85, 1233
25.15, 1259
25.4501, 1259
25.75, 1266
26.05, 1281
26.3501, 1287
26.65, 1230
26.95, 1278
27.25, 1263
27.6, 1246
27.9, 1258
28.2, 1286
28.5001, 1212
28.8, 1245
29.1, 1252
29.4, 1236
29.7, 1258
30, 1283
