Time (s), Number of Contacts
0, 3649
0.300048, 10029
0.600029, 9869
0.90001, 9382
1.20006, 9473
1.50004, 9841
1.80002, 9495
2.1, 9075
2.40005, 9554
2.75003, 9321
3.05001, 9106
3.35005, 9422
3.65004, 9062
3.95002, 8906
4.25006, 9202
4.55004, 9120
4.85003, 8850
5.15001, 8940
5.45005, 8864
5.75004, 8898
6.05002, 8850
6.35006, 8647
6.65004, 8548
6.95003, 8795
7.25001, 8721
7.60005, 8564
7.90003, 8733
8.20001, 8688
8.50006, 8717
8.80004, 8830
9.10002, 8840
9.4, 8727
9.70005, 8842
10, 8657
10.3, 8717
10.6001, 8872
10.9, 8702
11.2, 8520
11.5, 8710
11.8001, 8580
12.1, 8783
12.4, 8889
12.7501, 8661
13.05, 8704
13.35, 8691
13.65, 8780
13.95, 8925
14.25, 9036
14.55, 8935
14.8501, 8730
15.15, 8760
15.45, 8565
15.75, 8569
16.05, 8557
16.35, 8551
16.65, 8792
16.9501, 8836
17.25, 8777
17.6, 8807
17.9001, 9002
18.2, 9000
18.5, 8777
18.8, 8799
19.1001, 8505
19.4, 8602
19.7, 8763
20.0001, 8796
20.3, 8743
20.6, 8867
20.9, 8769
21.2001, 9031
21.5, 8953
21.8, 8885
22.1001, 8702
22.4, 8748
22.75, 8880
23.05, 8935
23.3501, 8958
23.65, 8949
23.95, 8947
24.2501, 8739
24.55, 8638
24.85, 8705
25.15, 8808
25.4501, 8850
25.75, 8859
26.05, 8838
26.3501, 8841
26.65, 8959
26.95, 8826
27.25, 8849
27.6, 8683
27.9, 8787
28.2, 8822
28.5001, 8982
28.8, 8795
29.1, 8912
29.4, 8909
29.7, 8715
30, 8644
