Time (s), Number of Contacts
0, 432
0.300048, 1049
0.600029, 1028
0.90001, 924
1.20006, 908
1.50004, 1042
1.80002, 991
2.1, 931
2.40005, 1042
2.75003, 1028
3.05001, 1005
3.35005, 1079
3.65004, 1015
3.95002, 1000
4.25006, 1105
4.55004, 1044
4.85003, 1028
5.15001, 1089
5.45005, 1086
5.75004, 997
6.05002, 1114
6.35006, 1064
6.65004, 1101
6.95003, 1144
7.25001, 1083
7.60005, 1058
7.90003, 1117
8.20001, 1058
8.50006, 1070
8.80004, 1094
9.10002, 1120
9.4, 1055
9.70005, 1129
10, 1113
10.3, 1063
10.6001, 1122
10.9, 1139
11.2, 1066
11.5, 1119
11.8001, 1129
12.1, 1093
12.4, 1101
12.7501, 1140
13.05, 1117
13.35, 1154
13.65, 1111
13.95, 1094
14.25, 1174
14.55, 1150
14.8501, 1109
15.15, 1114
15.45, 1130
15.75, 1152
16.05, 1176
16.35, 1136
16.65, 1137
16.9501, 1115
17.25, 1126
17.6, 1147
17.9001, 1136
18.2, 1139
18.5, 1127
18.8, 1179
19.1001, 1144
19.4, 1152
19.7, 1140
20.0001, 1146
20.3, 1161
20.6, 1175
20.9, 1155
21.2001, 1138
21.5, 1150
21.8, 1164
22.1001, 1153
22.4, 1143
22.75, 1156
23.05, 1134
23.3501, 1180
23.65, 1195
23.95, 1201
24.2501, 1157
24.55, 1174
24.85, 1180
25.15, 1190
25.4501, 1135
25.75, 1144
26.05, 1125
26.3501, 1187
26.65, 1166
26.95, 1239
27.25, 1202
27.6, 1163
27.9, 1177
28.2, 1179
28.5001, 1194
28.8, 1188
29.1, 1211
29.4, 1136
29.7, 1183
30, 1138
