Time (s), Number of Contacts
0, 432
0.300048, 991
0.600029, 965
0.90001, 804
1.20006, 841
1.50004, 879
1.80002, 825
2.1, 833
2.40005, 844
2.75003, 804
3.05001, 811
3.35005, 813
3.65004, 811
3.95002, 816
4.25006, 825
4.55004, 844
4.85003, 823
5.15001, 833
5.45005, 833
5.75004, 836
6.05002, 841
6.35006, 837
6.65004, 838
6.95003, 842
7.25001, 846
7.60005, 836
7.90003, 842
8.20001, 843
8.50006, 851
8.80004, 845
9.10002, 841
9.4, 843
9.70005, 841
10, 847
10.3, 848
10.6001, 891
10.9, 864
11.2, 869
11.5, 854
11.8001, 852
12.1, 866
12.4, 868
12.7501, 893
13.05, 893
13.35, 874
13.65, 874
13.95, 885
14.25, 884
14.55, 895
14.8501, 891
15.15, 904
15.45, 919
15.75, 893
16.05, 911
16.35, 908
16.65, 921
16.9501, 908
17.25, 924
17.6, 892
17.9001, 902
18.2, 900
18.5, 913
18.8, 898
19.1001, 893
19.4, 890
19.7, 891
20.0001, 893
20.3, 910
20.6, 887
20.9, 914
21.2001, 915
21.5, 925
21.8, 922
22.1001, 926
22.4, 921
22.75, 920
23.05, 914
23.3501, 914
23.65, 915
23.95, 908
24.2501, 905
24.55, 905
24.85, 910
25.15, 911
25.4501, 914
25.75, 937
26.05, 925
26.3501, 924
26.65, 930
26.95, 922
27.25, 929
27.6, 928
27.9, 925
28.2, 916
28.5001, 936
28.8, 924
29.1, 952
29.4, 939
29.7, 963
30, 921
