Time (s), Number of Contacts
0, 432
0.300048, 966
0.600029, 955
0.90001, 802
1.20006, 824
1.50004, 884
1.80002, 819
2.1, 817
2.40005, 843
2.75003, 810
3.05001, 807
3.35005, 837
3.65004, 820
3.95002, 823
4.25006, 854
4.55004, 835
4.85003, 823
5.15001, 846
5.45005, 836
5.75004, 833
6.05002, 814
6.35006, 823
6.65004, 823
6.95003, 817
7.25001, 815
7.60005, 828
7.90003, 832
8.20001, 815
8.50006, 819
8.80004, 841
9.10002, 835
9.4, 856
9.70005, 850
10, 852
10.3, 839
10.6001, 835
10.9, 854
11.2, 855
11.5, 857
11.8001, 837
12.1, 852
12.4, 860
12.7501, 871
13.05, 864
13.35, 875
13.65, 886
13.95, 890
14.25, 874
14.55, 887
14.8501, 879
15.15, 864
15.45, 870
15.75, 868
16.05, 871
16.35, 882
16.65, 863
16.9501, 859
17.25, 885
17.6, 877
17.9001, 882
18.2, 884
18.5, 890
18.8, 904
19.1001, 877
19.4, 899
19.7, 903
20.0001, 894
20.3, 895
20.6, 900
20.9, 889
21.2001, 889
21.5, 914
21.8, 888
22.1001, 944
22.4, 931
22.75, 906
23.05, 926
23.3501, 924
23.65, 913
23.95, 911
24.2501, 903
24.55, 924
24.85, 912
25.15, 914
25.4501, 925
25.75, 904
26.05, 911
26.3501, 928
26.65, 926
26.95, 940
27.25, 921
27.6, 920
27.9, 903
28.2, 904
28.5001, 924
28.8, 911
29.1, 911
29.4, 929
29.7, 942
30, 931
