Time (s), Number of Contacts
0, 3649
0.300048, 9638
0.600029, 9600
0.90001, 9175
1.20006, 6930
1.50004, 3723
1.80002, 5974
2.1, 7960
2.40005, 6203
2.75003, 4328
3.05001, 6215
3.35005, 7101
3.65004, 5261
3.95002, 4660
4.25006, 6068
4.55004, 6478
4.85003, 5160
5.15001, 5038
5.45005, 5843
5.75004, 6257
6.05002, 5373
6.35006, 5107
6.65004, 5790
6.95003, 5880
7.25001, 5409
7.60005, 5215
7.90003, 5845
8.20001, 5827
8.50006, 5295
8.80004, 5432
9.10002, 5800
9.4, 5775
9.70005, 5513
10, 5503
10.3, 5529
10.6001, 5485
10.9, 5805
11.2, 5374
11.5, 5475
11.8001, 5768
12.1, 5604
12.4, 5320
12.7501, 5598
13.05, 5712
13.35, 5696
13.65, 5564
13.95, 5296
14.25, 5442
14.55, 5935
14.8501, 5615
15.15, 5137
15.45, 5564
15.75, 5726
16.05, 5524
16.35, 5489
16.65, 5616
16.9501, 5732
17.25, 5518
17.6, 5415
17.9001, 5638
18.2, 5924
18.5, 5630
18.8, 5191
19.1001, 5674
19.4, 5986
19.7, 5688
20.0001, 5205
20.3, 5528
20.6, 5889
20.9, 5659
21.2001, 5456
21.5, 5651
21.8, 5567
22.1001, 5564
22.4, 5400
22.75, 5584
23.05, 5601
23.3501, 5550
23.65, 5595
23.95, 5617
24.2501, 5542
24.55, 5559
24.85, 5510
25.15, 5612
25.4501, 5590
25.75, 5426
26.05, 5434
26.3501, 5932
26.65, 5719
26.95, 5115
27.25, 5418
27.6, 5909
27.9, 5372
28.2, 5237
28.5001, 5673
28.8, 5690
29.1, 5514
29.4, 5441
29.7, 5549
30, 5680
