Time (s), Number of Contacts
0, 432
0.300048, 978
0.600029, 991
0.90001, 913
1.20006, 724
1.50004, 520
1.80002, 741
2.1, 876
2.40005, 743
2.75003, 610
3.05001, 784
3.35005, 816
3.65004, 708
3.95002, 665
4.25006, 833
4.55004, 821
4.85003, 714
5.15001, 734
5.45005, 795
5.75004, 787
6.05002, 730
6.35006, 751
6.65004, 775
6.95003, 765
7.25001, 753
7.60005, 727
7.90003, 751
8.20001, 740
8.50006, 755
8.80004, 770
9.10002, 725
9.4, 711
9.70005, 771
10, 782
10.3, 736
10.6001, 777
10.9, 793
11.2, 761
11.5, 734
11.8001, 766
12.1, 760
12.4, 761
12.7501, 756
13.05, 788
13.35, 741
13.65, 753
13.95, 741
14.25, 747
14.55, 747
14.8501, 734
15.15, 759
15.45, 739
15.75, 742
16.05, 761
16.35, 740
16.65, 756
16.9501, 728
17.25, 726
17.6, 771
17.9001, 739
18.2, 803
18.5, 758
18.8, 728
19.1001, 759
19.4, 774
19.7, 752
20.0001, 717
20.3, 742
20.6, 800
20.9, 743
21.2001, 770
21.5, 747
21.8, 779
22.1001, 769
22.4, 755
22.75, 762
23.05, 766
23.3501, 755
23.65, 745
23.95, 734
24.2501, 741
24.55, 764
24.85, 759
25.15, 749
25.4501, 773
25.75, 780
26.05, 747
26.3501, 764
26.65, 770
26.95, 751
27.25, 749
27.6, 744
27.9, 749
28.2, 749
28.5001, 744
28.8, 748
29.1, 731
29.4, 745
29.7, 731
30, 732
