Time (s), Number of Contacts
0, 432
0.300048, 1018
0.600029, 1003
0.90001, 913
1.20006, 770
1.50004, 867
1.80002, 1039
2.1, 908
2.40005, 841
2.75003, 1019
3.05001, 980
3.35005, 832
3.65004, 955
3.95002, 1021
4.25006, 888
4.55004, 923
4.85003, 1056
5.15001, 955
5.45005, 834
5.75004, 1010
6.05002, 964
6.35006, 876
6.65004, 988
6.95003, 1050
7.25001, 900
7.60005, 921
7.90003, 1032
8.20001, 927
8.50006, 871
8.80004, 997
9.10002, 963
9.4, 892
9.70005, 922
10, 999
10.3, 890
10.6001, 907
10.9, 978
11.2, 954
11.5, 886
11.8001, 957
12.1, 984
12.4, 907
12.7501, 947
13.05, 979
13.35, 913
13.65, 962
13.95, 974
14.25, 946
14.55, 907
14.8501, 961
15.15, 957
15.45, 929
15.75, 920
16.05, 959
16.35, 936
16.65, 948
16.9501, 960
17.25, 980
17.6, 930
17.9001, 907
18.2, 950
18.5, 960
18.8, 913
19.1001, 970
19.4, 999
19.7, 905
20.0001, 941
20.3, 985
20.6, 944
20.9, 913
21.2001, 931
21.5, 944
21.8, 971
22.1001, 939
22.4, 941
22.75, 945
23.05, 915
23.3501, 898
23.65, 960
23.95, 956
24.2501, 900
24.55, 980
24.85, 960
25.15, 920
25.4501, 950
25.75, 981
26.05, 940
26.3501, 924
26.65, 974
26.95, 962
27.25, 933
27.6, 929
27.9, 979
28.2, 962
28.5001, 893
28.8, 993
29.1, 929
29.4, 963
29.7, 972
30, 990
