Time (s), Number of Contacts
0, 432
0.300048, 1001
0.600029, 993
0.90001, 825
1.20006, 862
1.50004, 937
1.80002, 853
2.1, 818
2.40005, 926
2.75003, 855
3.05001, 844
3.35005, 926
3.65004, 865
3.95002, 857
4.25006, 928
4.55004, 900
4.85003, 869
5.15001, 918
5.45005, 898
5.75004, 911
6.05002, 916
6.35006, 898
6.65004, 848
6.95003, 908
7.25001, 933
7.60005, 896
7.90003, 937
8.20001, 902
8.50006, 898
8.80004, 932
9.10002, 917
9.4, 921
9.70005, 945
10, 908
10.3, 922
10.6001, 964
10.9, 921
11.2, 936
11.5, 936
11.8001, 894
12.1, 930
12.4, 926
12.7501, 923
13.05, 941
13.35, 955
13.65, 938
13.95, 956
14.25, 971
14.55, 963
14.8501, 973
15.15, 966
15.45, 947
15.75, 964
16.05, 939
16.35, 917
16.65, 980
16.9501, 952
17.25, 964
17.6, 963
17.9001, 960
18.2, 949
18.5, 954
18.8, 963
19.1001, 933
19.4, 914
19.7, 961
20.0001, 977
20.3, 957
20.6, 944
20.9, 955
21.2001, 982
21.5, 955
21.8, 967
22.1001, 970
22.4, 942
22.75, 978
23.05, 965
23.3501, 970
23.65, 967
23.95, 972
24.2501, 962
24.55, 951
24.85, 958
25.15, 941
25.4501, 961
25.75, 976
26.05, 972
26.3501, 965
26.65, 981
26.95, 945
27.25, 968
27.6, 960
27.9, 942
28.2, 966
28.5001, 975
28.8, 950
29.1, 959
29.4, 980
29.7, 940
30, 948
