Time (s), Number of Contacts
0, 3649
0.300048, 10915
0.600029, 10772
0.90001, 9923
1.20006, 9280
1.50004, 9943
1.80002, 9336
2.1, 8964
2.40005, 9430
2.75003, 8947
3.05001, 8898
3.35005, 9380
3.65004, 9125
3.95002, 8835
4.25006, 9022
4.55004, 9314
4.85003, 9000
5.15001, 9471
5.45005, 9217
5.75004, 8943
6.05002, 9056
6.35006, 9153
6.65004, 8881
6.95003, 9032
7.25001, 9085
7.60005, 9047
7.90003, 9463
8.20001, 9028
8.50006, 9084
8.80004, 9092
9.10002, 9293
9.4, 8997
9.70005, 9226
10, 9361
10.3, 8904
10.6001, 9080
10.9, 9188
11.2, 8999
11.5, 9119
11.8001, 8963
12.1, 8877
12.4, 9066
12.7501, 9037
13.05, 9045
13.35, 8985
13.65, 8965
13.95, 9159
14.25, 9093
14.55, 9029
14.8501, 8999
15.15, 9185
15.45, 8880
15.75, 9246
16.05, 9164
16.35, 9069
16.65, 9153
16.9501, 9133
17.25, 9046
17.6, 9018
17.9001, 9180
18.2, 9224
18.5, 9292
18.8, 9125
19.1001, 9294
19.4, 9080
19.7, 9113
20.0001, 9009
20.3, 9158
20.6, 9035
20.9, 9049
21.2001, 9242
21.5, 9368
21.8, 9304
22.1001, 8978
22.4, 8978
22.75, 9305
23.05, 9122
23.3501, 9172
23.65, 9355
23.95, 9224
24.2501, 9174
24.55, 9034
24.85, 9186
25.15, 9180
25.4501, 9030
25.75, 8903
26.05, 9275
26.3501, 9130
26.65, 9102
26.95, 8977
27.25, 9491
27.6, 9005
27.9, 8972
28.2, 9207
28.5001, 9038
28.8, 9035
29.1, 9213
29.4, 8930
29.7, 8943
30, 9335
