Time (s), Number of Contacts
0, 432
0.300048, 1014
0.600029, 998
0.90001, 949
1.20006, 703
1.50004, 657
1.80002, 1023
2.1, 910
2.40005, 683
2.75003, 884
3.05001, 964
3.35005, 758
3.65004, 746
3.95002, 980
4.25006, 925
4.55004, 735
4.85003, 831
5.15001, 916
5.45005, 842
5.75004, 805
6.05002, 853
6.35006, 902
6.65004, 858
6.95003, 854
7.25001, 849
7.60005, 866
7.90003, 826
8.20001, 833
8.50006, 862
8.80004, 821
9.10002, 874
9.4, 844
9.70005, 871
10, 854
10.3, 849
10.6001, 839
10.9, 878
11.2, 844
11.5, 802
11.8001, 824
12.1, 880
12.4, 866
12.7501, 847
13.05, 861
13.35, 860
13.65, 865
13.95, 829
14.25, 852
14.55, 864
14.8501, 801
15.15, 864
15.45, 866
15.75, 829
16.05, 852
16.35, 868
16.65, 895
16.9501, 844
17.25, 819
17.6, 877
17.9001, 820
18.2, 837
18.5, 911
18.8, 863
19.1001, 829
19.4, 839
19.7, 865
20.0001, 862
20.3, 884
20.6, 865
20.9, 837
21.2001, 844
21.5, 821
21.8, 853
22.1001, 848
22.4, 812
22.75, 870
23.05, 874
23.3501, 839
23.65, 857
23.95, 849
24.2501, 870
24.55, 824
24.85, 856
25.15, 869
25.4501, 873
25.75, 863
26.05, 898
26.3501, 844
26.65, 866
26.95, 853
27.25, 845
27.6, 865
27.9, 865
28.2, 856
28.5001, 843
28.8, 834
29.1, 878
29.4, 870
29.7, 865
30, 841
